Selected indicators: Electricity generation (GWh).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected technologies: Total renewable energy; Hydropower; Marine; Wind; Solar; Bioenergy; Geothermal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected countries and areas: World; Africa; Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Cent Afr Rep; Chad; Comoros; Congo DR; Congo Rep; Cote d Ivoire; Djibouti; Egypt; Eq Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Mayotte; Morocco; Mozambique; Namibia; Niger; Nigeria; Reunion; Rwanda; Saint Helena; Sao Tome Prn; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Tanzania; Togo; Tunisia; Uganda; Westn Sahara; Zambia; Zimbabwe; Asia; Afghanistan; Bangladesh; Bhutan; Brunei Darsm; Cambodia; China; China HK SAR; China Mac SAR; Chinese Taipei; India; Indonesia; Japan; Kazakhstan; Korea DPR; Korea Rep; Kyrgyzstan; Lao PDR; Malaysia; Maldives; Mongolia; Myanmar; Nepal; Pakistan; Philippines; Singapore; Sri Lanka; Tajikistan; Thailand; Timor Leste; Turkmenistan; Uzbekistan; Viet Nam; C America + Carib; Anguilla; Antigua Barb; Aruba; Bahamas; Barbados; Belize; BES Islands; Br Virgin Is; Cayman Is; Costa Rica; Cuba; Curacao; Dominica; Dominican Rep; El Salvador; Grenada; Guadeloupe; Guatemala; Haiti; Honduras; Jamaica; Martinique; Montserrat; Nicaragua; Panama; Puerto Rico; St Barth; St Kitts Nevis; St Lucia; St Maarten; St Martin; St Vincent Gren; Trinidad Tobago; Turks Caicos; US Virgin Is; Eurasia; Armenia; Azerbaijan; Georgia; Russian Fed; Turkey; Europe; Albania; Andorra; Austria; Belarus; Belgium; Bosnia Herzg; Bulgaria; Croatia; Cyprus; Czechia; Denmark; Estonia; Faroe Islands; Finland; France; Germany; Gibraltar; Greece; Holy See; Hungary; Iceland; Ireland; Italy; Kosovo*; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova Rep; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; San Marino; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; European Union; Middle East; Bahrain; Iran IR; Iraq; Israel; Jordan; Kuwait; Lebanon; Oman; Palestine; Qatar; Saudi Arabia; Syrian AR; United Arab Em; Yemen; N America; Bermuda; Canada; Greenland; Mexico; St Pierre Mq; USA; Oceania; Amer Samoa; Australia; Christmas Is; Cocos Is; Cook Is; Fiji; Fr Polynesia; Guam; Kiribati; Marshall Is; Micronesia; Nauru; New Caledon; New Zealand; Niue; Norfolk Is; Nth Mariana Is; Palau; Papua N Guin; Pitcairn; Samoa; Solomon Is; Tokelau; Tonga; Tuvalu; Vanuatu; Wallis Fut Is; S America; Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Falklands Malv; Fr Guiana; Guyana; Paraguay; Peru; Suriname; Uruguay; Venezuela.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected years: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show data flags: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IRENA (2019), Renewable Energy Statistics 2019, The International Renewable Energy Agency, Abu Dhabi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Country/area,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panama,Total renewable energy, 3 442, 2 522, 3 420, 2 846, 3 803, 3 747, 3 604, 3 729, 3 997, 3 920, 4 220, 4 125, 5 416, 5 193, 5 186, 6 728, 7 255, 7 945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 3 418, 2 499, 3 401, 2 823, 3 779, 3 724, 3 580, 3 706, 3 972, 3 897, 4 194, 4 098, 5 388, 5 154, 5 034, 6 257, 6 523, 7 254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  116,  419,  625,  491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  1,  1,  1,  1,  1,  1,  1,  2,  2,  3,  3,  4,  5,  7,  22,  77,  161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  24,  23,  18,  21,  24,  23,  22,  21,  23,  21,  24,  24,  24,  32,  29,  31,  31,  40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Puerto Rico,Total renewable energy,  120,  120,  115,  120,  120,  140,  120,  120,  120,  120,  161,  147,  119,  296,  348,  389,  389,  370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  120,  120,  115,  120,  120,  140,  120,  120,  120,  120,  159,  146,  86,  83,  81,  56,  71,  51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  15,  173,  218,  239,  193,  149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  18,  40,  48,  94,  118,  159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  7,  11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Barth,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Kitts Nevis,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  5,  8,  8,  10,  10,  11,  11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  5,  8,  8,  8,  8,  8,  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  2,  3,  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Lucia,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Maarten,Total renewable energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Martin,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  4,  3,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  4,  3,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Vincent Gren,Total renewable energy,  24,  18,  22,  20,  27,  26,  23,  23,  24,  26,  25,  31,  25,  25,  25,  27,  28,  28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,  24,  18,  22,  20,  27,  26,  23,  23,  24,  26,  25,  31,  25,  25,  25,  26,  26,  26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  2,  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trinidad Tobago,Total renewable energy,  20,  30,  27,  14,  25,  24,  29,  22,  3,  4,  4,  4,  4,  4,  5,  5,  5,  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  1,  1,  2,  2,  2,  3,  3,  3,  4,  4,  4,  4,  4,  5,  5,  5,  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  20,  29,  26,  12,  23,  22,  26,  19,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turks Caicos,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US Virgin Is,Total renewable energy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  4,  15,  30,  30,  14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  4,  15,  30,  30,  14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eurasia,Total renewable energy, 203 024, 205 241, 205 828, 201 700, 232 236, 222 578, 226 946, 223 889, 209 447, 223 653, 237 227, 236 470, 241 991, 261 514, 238 663, 264 770, 288 304, 286 609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 203 965, 206 738, 207 338, 203 053, 233 515, 223 857, 228 079, 224 703, 209 741, 222 890, 234 661, 231 894, 235 510, 252 562, 227 868, 249 363, 266 539, 258 576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  35,  65,  54,  70,  65,  66,  134,  365,  854, 1 506, 2 928, 4 735, 5 870, 7 567, 8 532, 11 667, 15 557, 18 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  1,  2,  2,  3,  4,  5,  6,  7,  9,  10,  19,  31,  31,  264, 1 162, 3 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  188,  207,  147,  121,  118,  75,  102,  109,  166,  285,  369,  378,  637, 1 050, 1 288, 1 455, 1 841, 2 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  134,  181,  261,  413,  496,  504,  557,  641,  627,  900, 1 173, 1 216, 1 376, 1 808, 2 819, 3 876, 5 233, 6 562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armenia,Total renewable energy, 1 261,  968, 1 658, 1 982, 2 014, 1 773, 1 825, 1 855, 1 799, 2 024, 2 563, 2 494, 2 315, 2 177, 1 997, 2 209, 2 354, 2 274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 1 261,  968, 1 658, 1 982, 2 014, 1 773, 1 823, 1 853, 1 797, 2 019, 2 556, 2 489, 2 311, 2 173, 1 993, 2 206, 2 351, 2 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  3,  3,  2,  4,  7,  6,  4,  4,  4,  4,  2,  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,Total renewable energy, 1 534, 1 301, 2 020, 2 469, 2 755, 3 009, 2 518, 2 364, 2 232, 2 311, 3 447, 2 676, 1 821, 1 626, 1 479, 1 829, 2 192, 1 976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 1 534, 1 301, 2 020, 2 469, 2 755, 3 009, 2 518, 2 364, 2 232, 2 308, 3 446, 2 676, 1 821, 1 491, 1 300, 1 638, 1 959, 1 746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  1,  0,  0,  1,  2,  5,  23,  22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  3,  5,  35,  37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  134,  174,  182,  175,  170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Georgia,Total renewable energy, 5 881, 5 535, 6 712, 6 497, 6 028, 6 030, 5 402, 6 831, 7 169, 7 417, 9 375, 7 893, 7 221, 8 271, 8 335, 8 454, 9 338, 9 298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 5 881, 5 535, 6 712, 6 497, 6 028, 6 030, 5 402, 6 831, 7 169, 7 417, 9 375, 7 893, 7 221, 8 271, 8 335, 8 454, 9 329, 9 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Fed,Total renewable energy, 163 193, 173 090, 161 472, 155 192, 175 127, 172 015, 172 675, 176 377, 163 819, 173 754, 166 120, 165 297, 165 400, 180 190, 174 221, 168 617, 184 172, 185 822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 164 409, 174 924, 163 266, 156 775, 176 635, 173 484, 174 092, 177 805, 165 273, 175 187, 167 489, 166 499, 166 293, 181 206, 175 595, 169 921, 185 668, 187 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  2,  3,  6,  9,  7,  7,  5,  7,  5,  4,  4,  5,  5,  5,  5,  6,  6,  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  7,  62,  79,  283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  22,  23,  17,  42,  42,  41,  44,  14,  24,  33,  36,  35,  45,  37,  32,  32,  32,  84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  58,  91,  156,  324,  403,  410,  463,  485,  465,  464,  505,  522,  477,  444,  455,  451,  414,  435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turkey,Total renewable energy, 31 154, 24 346, 33 967, 35 561, 46 313, 39 751, 44 526, 36 461, 34 427, 38 148, 55 721, 58 110, 65 234, 69 249, 52 632, 83 661, 90 247, 87 239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 30 879, 24 010, 33 683, 35 330, 46 084, 39 561, 44 244, 35 851, 33 270, 35 958, 51 795, 52 339, 57 865, 59 421, 40 645, 67 146, 67 231, 58 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wind,  33,  62,  48,  61,  58,  59,  127,  355,  847, 1 495, 2 916, 4 724, 5 861, 7 558, 8 520, 11 653, 15 517, 17 904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar,  0,  0,  1,  2,  2,  3,  4,  5,  6,  7,  9,  10,  17,  29,  20,  197, 1 046, 2 892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bioenergy,  166,  184,  130,  79,  76,  34,  58,  95,  142,  252,  333,  343,  592,  879, 1 083, 1 241, 1 635, 2 096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal,  76,  90,  105,  89,  93,  94,  94,  156,  162,  436,  668,  694,  899, 1 364, 2 364, 3 425, 4 819, 6 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe,Total renewable energy, 638 643, 650 511, 606 729, 588 355, 643 359, 677 624, 686 953, 729 525, 790 116, 814 713, 898 824, 885 055,1 004 267,1 093 726,1 135 191,1 171 930,1 194 890,1 211 082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydropower, 607 013, 611 552, 557 266, 521 612, 551 300, 564 928, 550 405, 557 743, 587 779, 581 001, 622 772, 541 462, 596 093, 630 082, 631 513, 597 545, 614 008, 557 545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
